run_name,experiment,split,syntax_candidate_total,syntax_valid_total,syntax_invalid_total,syntax_validity_rate,invalid_label_rate
acl_rr_exp1_direct_stage3_seed3407,exp1,test_real,95,95,0,1.0,0.0
acl_rr_exp1_direct_stage3_seed3407,exp1,holdout_generalization,410,410,0,1.0,0.0
acl_rr_exp2_abs_nonword_seed3407,exp3,test_real,94,94,0,1.0,0.0
acl_rr_exp2_abs_nonword_seed3407,exp3,holdout_generalization,329,329,0,1.0,0.0
acl_rr_exp2_abs_off_no_recon_seed3407,exp3,test_real,95,95,0,1.0,0.0
acl_rr_exp2_abs_off_no_recon_seed3407,exp3,holdout_generalization,399,399,0,1.0,0.0
acl_rr_exp4_unseen_tags_seed3407,exp4,test_real,93,93,0,1.0,0.0
acl_rr_exp4_unseen_tags_seed3407,exp4,holdout_generalization,374,374,0,1.0,0.0
