bundle_name,review_sheet,answer_key,n_review_rows,n_answer_key_rows,n_merged_source_rows,n_scored_source_rows,sources,decision_counts,head_to_head_pair_outcomes
manual_review_test_real_recon_full_comp_preserve_final_seed3407_vs_gold,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/artifacts/manual_review_test_real_recon_full_comp_preserve_final_seed3407_vs_gold/blinded_review_sheet.csv,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/artifacts/manual_review_test_real_recon_full_comp_preserve_final_seed3407_vs_gold/answer_key.csv,88,88,88,73,"['gold', 'recon_full_comp_preserve_final_seed3407']","{'correct': 59, 'incorrect': 14, 'invalid_multiple': 15}","{'model_preferred': 5, 'unresolved_review': 11, 'both_acceptable': 20, 'gold_preferred': 8}"
manual_review_test_real_final_model_vs_gold,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/artifacts/manual_review_test_real_final_model_vs_gold/blinded_review_sheet.csv,/Users/shamiraventurini/PycharmProjects/talkbank-morphosyntax-error-annotator/artifacts/manual_review_test_real_final_model_vs_gold/answer_key.csv,106,106,106,96,"['final_model', 'gold']","{'incorrect': 14, 'invalid_multiple': 10, 'correct': 82}","{'model_preferred': 2, 'both_acceptable': 32, 'unresolved_review': 8, 'gold_preferred': 11}"
